pdes,M1,K1,source_citation,notes
1896 V1,7.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); discovered by Perrine 2 Nov 1896 in Vulpecula; ASYMMETRIC photometry — pre-peri H10=7.0, post-peri H10=8.3 per E-III; took pre-peri (brighter) per commission §3.3; nuclear brightness 8.4-8.9 pre-peri; page-image proofread vs page 335: confirmed"
1897 U1,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 6P, body identifies as Perrine Lick Obs 16 Oct 1897 disc → C/1897 U1 (Perrine, peri Dec 9); V.I. according to Holetschek's estimates H10=8.0; same figure cited in C.A.M.; Big V notes 'Observations in middle and end of November yielded H10=11 to 12m; rapid exhaustion of the comet is obvious'; took C.A.M./V.I. value 8.0; page-image proofread vs page 337: confirmed"
1898 F1,5.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); 19 March 1898 disc Lick Obs 2 days post-peri; bright comet 6-7m; Holetschek H1=4.3 to 6.4; In E-III, H10=5.7 with very small mean error (March-July); central condensation h10=7.0; Bobrovnikoff y=14.14, H0=4.78 (8 normal positions); brightness decreased faster than y=10 (March to May); page-image proofread vs page 338: confirmed"
1898 M1,9.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Giacobini); 18 June 1898 disc Nice; only E-III H10 cited; from 6 estimates; nuclear brightness 10.5-13.6; page-image proofread vs page 340: confirmed
1898 L2,7.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1898 M1 (already mapped to entry 86), but Big V 1898 VI (1898e) is Perrine Lick Obs 14 June 1898 disc → C/1898 L2 (Perrine, peri Aug 16 1898); only E-III H10 cited; brilliance 9.7; page-image proofread vs page 341: confirmed"
1898 L1,5.0,10.0,"Vsekhsvyatskij 1958, other",matched by name (Coddington); discovered photographically by Coddington (Lick Obs.) 11 June 1898 from plates of Antares region taken 9 June; visually rediscovered by Pauly (Bucharest) 14 June; remarkably bright object; Big V's narrative synthesis H10=5.0 from 14 estimates over 9 June 1898 to 3 March 1899; brightness of central condensation 1m less than coma; page-image proofread vs page 342: confirmed
1898 V1,5.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Chase); discovery 21 Nov 1898 Newhaven (photographic) from 14 Nov plates of Leonids radiant; only E-III H10 cited; brilliance 7.2; page-image proofread vs page 342: confirmed
1898 R1,7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Chofardet); 12 Sept 1898 disc Perrine Lick Obs + 14 Sept indep Chofardet Besançon; Holetschek H1=6.8 to 6.4; V.I. from Holetschek H0=6.7 y=6.9; from Nijland H0=7.0 y=5.2 h10=8.7; In C.A.M., H10=7.0; D1=4 to 6'; tail type I; page-image proofread vs page 343: confirmed"
1898 U1,9.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); 20 Oct 1898 disc Geneva NY; Holetschek H1=8.6 to 6.5; from his own observations y=8.6 H0=9.1; Nijland H0=9.1; Schorr nuclear 11.8; In C.A.M., H10=9.2; D1=2'.5; orbit 'closely similar to that of 1881 IV' per Scharbe; page-image proofread vs page 344: confirmed"
1899 E1,5.3,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 64P (Lewis Swift's periodic), but plate caption explicitly says 'Comet 1899 I (E. Swift)' = Edward Swift Echo Mountain CA, 3 March 1899 disc, naked-eye comet 4-6m → C/1899 E1 (Swift, peri April 13 1899); V.I. from Holetschek y=14.0 H0=5.3 (non-standard y, noted); from Nijland y=6.9 H0=6.4; Bobrovnikoff y=7.94 H0=6.68 (March-June) and y=33 H0=2.1 (June-July, criticized in footnote as erroneous); chose V.I. Holetschek-based H0=5.3 with non-standard y=14 noted; no C.A.M. cited; page-image proofread vs pages 345-347: confirmed"
1899 S1,6.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Giacobini); 29 Sept 1899 disc Nice; In C.A.M., H10=6.5; Big V notes 'brightness apparently fluctuated' but observations H10 averages confirm C.A.M. (Oct=6.2, Nov=6.7, Dec=6.9); page-image proofread vs page 349: confirmed"
1900 B1,8.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 15P, but body identifies as Giacobini Nice 31 Jan 1900 disc faint object → C/1900 B1 (Giacobini, peri April 29 1900); In V II (Vsekhsvyatskii's Catalog II), H10=8.6; Big V's narrative shows rapid fading H10=7.3 (Feb), 6.7 (July), 7.7 (Aug), 10.5 (late Aug), avg H10=8.0; took V II value 8.6; (V II is a Vsekhsvyatskii reference distinct from formal C.A.M. citation in this entry); page-image proofread vs page 350: confirmed"
1900 O1,8.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Borrelly); discovery 23 July 1900 by Borrelly Marseilles + indep Brooks Geneva US; naked-eye 6-7m at peak; V.I. from Holetschek y=9.4 H0=8.3; from Nijland y=3.4 H0=8.7; In C.A.M., H10=8.2 as average of all estimates; nucleus 10.3; Bobrovnikoff non-standard reductions y=16.4 H0=8.6, y=16.9 H0=8.64; page-image proofread vs page 351: confirmed"
1901 G1,4.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Viscara) + bright southern comet 12 April 1901; V.II H10=5m.9 (Nijland/Aitken/Innes); pre-peri H10=4m.0 from estimates beg of May (chosen as brighter per sec 3.3); post-peri June m=10-11 -> H10=7m.2; ASYMMETRIC; sanity check: bright morning naked-eye comet, magnitude 1-2 reported, peak intrinsic 1m.0 (5.3 May); page-image proofread vs page 351-352: confirmed"
1902 G1,11.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Brooks) + Pegasus 14 April 1902 -> 1902 G1; only V.I H10=11m.7 cited (h0=12m.2 nucleus); D1=1'.5; S=0.004; brief telescopic comet; faint object (7-8m at discovery, faded after perihelion); page-image proofread vs page 353: confirmed (V.I treated as 'other' since not specifically C.A.M./Holetschek/E-II/E-I)"
1902 R1,6.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Perrine) + Perseus 1 Sept 1902 -> 1902 R1; V.I y=11.5 H0=6m.0 (Holetschek); same source y=9.2 H0=5m.7 (Nijland/Graff/Wirtz); C.A.M. H10=6m.0; Bobrovnikoff y=6.6 H0=6m.8 noted as too low by Big V; chose C.A.M. per sec 3.1; reached naked-eye 4.2-4.1 in Oct; non-standard photometric law y=11.5 (NOT y=4); page-image proofread vs page 354-355: confirmed
1903 A1,8.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 11P (wrong; 11P/Tempel-Swift 1903 apparition was 113P/Spitaler in target list with peri 1903-12-15, but this entry's peri is 1903-03-16 from r,delta); body identifies as Giacobini's Pisces discovery 15 Jan 1903 = 1903 A1 (Giacobini) per target list peri 1903-03-16; V.I H0=8m.2 y=6.8; C.A.M. H10=8m.6; Big V synthesis from m=4m on 16 March -> H10=7m.7; post-peri y=17.5 (very rapid fading); chose C.A.M. per sec 3.1; non-standard y values; page-image proofread vs page 355-356: confirmed"
1902 X1,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1903 A1 (wrong; that's 1903 I, the previous entry); body identifies as Giacobini's 2 Dec 1902 Monoceros discovery, distant comet (r=2.97 to 2.94) -> 1902 X1 (Giacobini) per target list peri 1903-03-23; first determination of H10 in V.I; C.A.M. H10=5m.0 (nucleus 6m.5); D1=2'.8 to 3'.0 in Jan-Feb, 7' in April; chose C.A.M. per sec 3.1; faint distant object (11-12m); page-image proofread vs page 356-357: confirmed"
1903 H1,9.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Grigg) + Eridanus 17 April 1903 -> 1903 H1 (Grigg); V.II based on m=13m.5 'obvious underestimate' so flagged erroneous (V1 pattern); from estimates above (8-9m at discovery, 12-13m at last) Big V synthesis H10=8m.6 to 9m.6 (mid 9.1); chose Big V's preferred synthesis since V.II flagged underestimate; observed only in southern hemisphere; ERRONEOUS V.II flagged; page-image proofread vs page 357: confirmed"
1903 M1,6.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Borrelly) + Aquarius 21 June 1903 -> 1903 M1 (Borrelly); V.I h10=10m.0 (nucleus); Yagolim y=4.2 H10=5m.9; C.A.M. H10=6m.3; Bobrovnikoff y=5.95 H0=6m.50 (Big V notes radically disagree with observations); chose C.A.M. per sec 3.1; reached naked-eye peak m=2m.8 on 18 July; sanity check: bright bare-eye comet observed by Schwab 2-3m; consistent with M1=6.3 K=10 fit; page-image proofread vs page 357-358: confirmed
1904 H1,2.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks) + Hercules 16 April 1904 -> 1904 H1; V.I H10=2m.9 and 2m.8 (from Holetschek and Wirtz observations); C.A.M. H10=2m.8; Bobrovnikoff y=8.12 H0=3m.6 (146 estimates); chose C.A.M. per sec 3.1; very distant comet (r=2.7 to 5.3 AU); observed for 40 months; non-standard photometric law y=8.12; sanity check: very bright intrinsically (M1=2.8) but distant — never naked-eye, peaked at m=8.5-9 (consistent); page-image proofread vs page 359-360: confirmed"
1904 Y1,6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Giacobini) + Corona Borealis 17 Dec 1904 -> 1904 Y1; absolute magnitude estimated in V.II; C.A.M. H10=6m.6; D1=1'.1 in Jan 1905; chose C.A.M. per sec 3.1; faint distant comet (r=1.95-2.99 AU); page-image proofread vs page 360: confirmed
1905 F1,11.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Giacobini) + Orion-Taurus 25 March 1905 -> 1905 F1; V.I y=11.1 H10=11m.4 (from Wirtz 10 obs); C.A.M. H10=11m.5; chose C.A.M. per sec 3.1; very faint telescopic comet; non-standard photometric law y=11.1; page-image proofread vs page 362: confirmed
1906 E1,3.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Kopff) + body text 3 March 1906 discovery in Virgo-Leo, plus prediscovery plates from 1904-1905 -> 1906 E1 per target list; V.I H10=4m.2 (from Wirtz); Big V comments 'most observers estimated the comet brighter by 0m.5, and therefore it would be better to take H10=3m.7'; from 1907 estimates m=13.8-15 -> H10=2m.8 to 3m.5; chose Big V's preferred synthesis 3m.7; observed 40 months, very distant comet (r=3.6-6.4 AU); non-standard implied y=10; page-image proofread vs page 363: confirmed"
1905 W1,8.9,10.0,"Vsekhsvyatskij 1958, other","matched by name (Schaer) + Geneva 17 Nov 1905 -> 1905 W1; V.I y=18.5 H10=9m.5, h10=12m.4 (Wirtz/Nijland); C.A.M. H10=10m.3; Big V synthesis from Wolf binocular estimates 20-22 Dec gives H10=8m.9 (brighter — preferred per pattern); ASYMMETRIC implied (rapid fading after Dec); chose Big V preferred per V1 pattern (Big V's reappraisal supersedes); non-standard y=18.5; brief naked-eye visibility 5.5-6.5m; page-image proofread vs page 364: confirmed"
1906 B1,7.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks) + Hercules 26 Jan 1906 -> 1906 B1; V.I y=24, H0=5m.1 (Wirtz); C.A.M. H10=7m.5; Holetschek H10=7m.7; chose C.A.M. per sec 3.1; non-standard y=24 (very steep brightness law); page-image proofread vs page 365: confirmed"
1905 X1,8.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Giacobini) + Bootes 6 Dec 1905 -> 1905 X1; V.I pre-peri y=22, H0=8m.8 (Wirtz/Holetschek); post-peri y=18.2, H0=8m.1; ASYMMETRIC pre-peri 8m.8 vs post-peri 8m.1 (post is BRIGHTER); C.A.M. H10=8m.3 (synthesis); chose C.A.M. per sec 3.1; comet brightened unexpectedly to m=4 in Jan 1906; non-standard y; sanity check: peak m=4 with r_peri=0.22 fits M1=8.3 K=10 reasonably; page-image proofread vs page 365-366: confirmed"
1906 F1,10.2,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Ross) + Cetus 18 March 1906 -> 1906 F1; V.I H10=10m.2; C.A.M. H10=10m.2 (same value); D1=4'.5 in March; brief observation period (3 weeks); page-image proofread vs page 366-367: confirmed
97P,9.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Metcalf) + Eridanus 14 Nov 1906 + target list 97P/Metcalf-Brewington peri 1906-10-10; V.I H10=7m.9 (from Wirtz, but based on erroneous ephemeris — Big V flags); for first visibility period H10=9m.5; for Dec 1906-Jan 1907 H10=10m.4; ASYMMETRIC (fading post-peri); chose Big V synthesis 9m.5 first period as brighter (post-peri 10.4 also cited); periodic — will dedupe; ERRONEOUS V.I (ephemeris) flagged; page-image proofread vs page 369: confirmed"
1906 V1,7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Thiele) + Cancer 10 Nov 1906 -> 1906 V1; V.I y=2.3 and 4.4, H0=8m.5 and 5m.3 (Holetschek/Wirtz); when y=10, H10=8m.1; C.A.M. H10=7m.8; Bobrovnikoff y=17.2 H10=7m.6 (37 estimates); chose C.A.M. per sec 3.1; non-standard y values (very flat for Holetschek); page-image proofread vs page 369-370: confirmed"
1907 E1,6.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Giacobini) + Canis Major 10 March 1907 -> 1907 E1; V.I/C.A.M. H10=4m.9 (from Wirtz, y=17.6) — but Big V's reappraisal yields March H10=7m.0-7m.8, April-May 6-6.7, beginning 1908 5m.7, average H10=6m.5; chose Big V's average synthesis 6m.5 as more representative across phases (C.A.M. 4.9 appears to be too bright relative to Big V's reappraisal of estimates); ASYMMETRIC (brightened post-peri); non-standard y=17.6; page-image proofread vs page 370-371: confirmed"
1907 G1,10.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Grigg) + Caelum 8 April 1907 -> 1907 G1; V.I y=21 H10=9m.7 (Wirtz); C.A.M. H10=10m.6; from first estimates Big V synthesis H10=10m.4; chose Big V synthesis as primary (sits between Wirtz V.I and C.A.M.); apparently a return of comet 1742 (165-yr period); non-standard y=21; page-image proofread vs page 371: confirmed
1907 L2,4.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Daniel) + 9 June 1907 vernal equinox discovery -> 1907 L2; Orlov y=19-6.4 H0=3m.6-3m.7 h10=7m.4; V.I y=9.8 H0=4m.2 H10=4m.0 (Nijland/Wirtz et al); Bobrovnikoff y=9.0 H0=4m.4 (from 98 estimates); first period y=17 H0=3m.6; C.A.M. is not explicitly stated but V.I H10=4m.0 matches catalog convention — used as the canonical synthesis; sanity check: famous bright Daniel comet of 1907, peaked m=2.1-2.3 in mid-Aug, naked-eye 17 degree tail; M1=4.0 with r_peri=0.51, Δ=0.93 -> peak ~ 4.0 + 5log(0.474) - 10log(0.51) ~ 4.0 - 1.62 + 2.92 ~ 5.3 - too faint vs reported 2.1; using full r,Δ peak (Aug) r=0.6 Δ=0.93 -> peak ~4.0 + 5log(0.558) - 10log(0.6) ~ 4.0 - 1.27 + 2.22 ~ 4.95 - still too faint; possible underestimate by V.I — but per priority it remains preferred without explicit Big V flag; notable type II or III tail; page-image proofread vs page 372-373: confirmed"
1907 T1,8.4,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 26P (wrong; 26P/Grigg-Skjellerup 1907 apparition would be a separate entry); body says 'Discovered in Hydra by Mellish (Madison, U.S.A.) on 13 Oct.' — a single Mellish 1907 discovery, no periodicity claim; perihelion ~mid-Nov 1907 from r,delta data; this is likely C/1907 T1 (Mellish) per IAU designation conventions (Mellish discovered Oct 13 -> half-month T = Oct 1-15, suffix 1); V.I y=20 H0=8m.4 (Holetschek/Wirtz); C.A.M. H10=9m.8; chose V.I/Big V's first synthesis 8m.4 over C.A.M. since the Wirtz/Holetschek data come from same observations summarized; brief naked-eye 8-9m comet; page-image proofread vs page 374: confirmed; LOW CONFIDENCE — pdes guess based on conventions, may need manual designation review"
1908 R1,4.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Morehouse) + Des Moines 1 Sept 1908 -> 1908 R1; one of the remarkable comets of the 20th century; Orlov from observations of Holetschek/Nijland/Wirtz: y=8.8, H0=4m.3, h0=4m.2; C.A.M. H10=4m.2; Bobrovnikoff y=12.5 H0=4m.0 and y=12.9 H0=3m.94 (110 estimates); chose C.A.M. per sec 3.1; sanity check: famous remarkable comet, intrinsic brightness 9->6->5m, naked-eye prominent for months, complex tail with type I; M1=4.2 with r_peri~0.94, Δ_min~1.06 -> peak ~ 4.2 + 5log(1.0) - 10log(0.94) = 4.2 + 0 + 0.27 ~ 4.5 — consistent with reported 5m peak; non-standard y=8.8 to 12.9; page-image proofread vs page 375-377: confirmed"
1910 A1,5.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'Brilliant comet first spotted on 12 Jan. by diamond miners in Transvaal' = Great January Daylight Comet 1910 = 1910 A1 per target list; FAMOUS COMET — observed in daytime only 4 deg from Sun, brighter than Venus, 10-deg tail growing to 40 deg by end of January; Orlov y=11.5 H0=5m.4 h0=6m.3 (van Biesbroeck and others); C.A.M. H10=5m.4; chose C.A.M. per sec 3.1; D1=4'; Smax=0.50; sanity check (external lit): peak m=-5 reported in literature; with M1=5.4, r_peri=0.13, Δ=1.42: m = 5.4 + 5log(1.42) + 10log(0.13) = 5.4 + 0.76 - 8.86 = -2.7; reported peak somewhat brighter (-5) — within K=10 model accuracy for sungrazer-like geometry; non-standard y=11.5; page-image proofread vs page 380-382: confirmed (note: PDF OCR garbled C.A.M. value, page image confirms 5m.4)"
1910 P1,5.4,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Metcalf) + Hercules 8 Aug 1910 -> 1910 P1; V.I y=7.1 H0=6m.7 (van Biesbroeck); C.A.M. H10=5m.4; Big V synthesis from estimates with brightness increase pattern: H10=4m.19 (BRIGHTER alternative); ASYMMETRIC — comet had unusual brightening pattern; chose C.A.M. per sec 3.1 (Big V's 4.19 synthesis available as alternate but C.A.M. is preferred); D1=3'.6 in Aug-Sept; non-standard y=7.1; page-image proofread vs page 384-385: confirmed
1911 N1,7.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Kies, Beljawsky, Belopol'skii) + Auriga 6 July 1911 -> 1911 N1; bright comet, naked-eye visible 4-6m; Orlov y=8.5 H0=7m.2-7m.0; C.A.M. H10=7m.4; Vorontsov-Vel'yaminov y=14.3 H0=8m.6 h0=11m.2; Bobrovnikoff y=10.4 H10=7m.9; chose C.A.M. per sec 3.1; sanity check: photographic 4m on 9 July with stubby tail, naked-eye visible by 17 Aug — M1=7.4 with r_peri=0.69, Δ_min=0.26 -> peak ~ 7.4 + 5log(0.18) - 10log(0.69) = 7.4 - 3.72 + 1.61 ~ 5.3 — consistent with reported 4-5m peak; non-standard y values; meteor shower associated (radiant alpha=87 deg, delta=40.5 deg); page-image proofread vs page 387-388: confirmed"
1911 S3,5.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Beljawsky) + 28 Sept 1911 morning sky discovery -> 1911 S3; FAMOUS bright comet (peaked 1-1.5m, deep yellow, three-branch tail up to 15 deg long); Vorontsov y=2 H0=3m.3 (Big V flags as uncertain — based on only 0.016 a.u. range); C.A.M. H10=8m.7 'using Holetschek's estimates which were 2 to 3m below the rest' — Big V flags as ERRONEOUS based on underestimates; Big V's reappraisal from Chernyi/Barnard/Graff/Perrine y=9.3 H0=5m.7 H10=5m.0 (preferred); chose Big V's synthesis per V1 pattern; sanity check: peak m=1-1.5 with r_peri=0.30, Δ=1.00 -> peak ~ 5.0 + 0 + 10log(0.30) = 5.0 - 5.23 = -0.23, slightly brighter than reported 1m — reasonable for a bright forward-scattering geometry; ERRONEOUS C.A.M. flagged; page-image proofread vs page 388-389: confirmed"
1911 O1,5.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks) + Pegasus 20 July 1911 -> 1911 O1; FAMOUS bright comet — peaked m=2.0-2.7 with 6-7 deg tail in mid-Oct, naked-eye visible from 17 Aug; Orlov y=8.0 H0=5m.14; Lau y=9.4 H0=5m.18 (47 estimates); Vorontsov on average y=8.5 H0=5m.64 h0=8m.1; C.A.M. H0=5m.1; Bobrovnikoff y=9.1 H0=5m.64 — Big V flags as 'obvious underestimate (Bobrovnikoff mechanically took the average)'; chose C.A.M. per sec 3.1; brightness flares on multiple dates Aug-Oct; sanity check: peak m=2.0 with r_peri=0.49, Δ=0.85 -> peak ~ 5.1 + 5log(0.42) - 10log(0.49) = 5.1 - 1.89 + 3.10 = 6.3 — too faint vs reported 2.0; Bobrovnikoff's underestimate flag suggests true M1 may be ~1m brighter (~4.1) for bright forward-scattering; non-standard y values; page-image proofread vs page 389-391: confirmed"
1911 S2,6.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Quenisset) + Ursa Minor 23 Sept 1911 -> 1911 S2; bright comet visible to naked eye in mid-Oct (m=5-6); Lau y=8.6 H0=6m.5; Vorontsov y=3.32 H0=6m.5 (74 estimates); C.A.M. H10=6m.5; Bobrovnikoff y=9.1 H10=6m.31 (81 obs); chose C.A.M. per sec 3.1; type I tail; brightness fluctuations on 13, 14, 26 Oct; non-standard y; page-image proofread vs page 392-393: confirmed"
1912 R1,6.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Gale) + Centaurus 8 Sept 1912 -> 1912 R1; visible to naked eye 5m; two tails at 50-60 deg angle, main 5+ deg; Kritzinger y=8 H0=5m.66; Vsekhsvyatskii y=8.1 H0=6m.08 h0=7m.2-7m.4 y0=10.0; Moiseev y=8.3 H0=6m.17; Bobrovnikoff y=7.8 H0=6m.31 (113 estimates); C.A.M. H10=6m.2; chose C.A.M. per sec 3.1; main tail type I, secondary type III synchrone (1 Sept ejecta); page-image proofread vs page 394-395: confirmed"
1912 V1,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Borrelly) + Hercules 2 Nov 1912 -> 1912 V1; only C.A.M. H10=8m.0 cited (from November estimates); h10=9-10m (nucleus); Big V notes 'Brightness subsided more rapidly than according to y=10' (asymmetric fading); chose C.A.M. per sec 3.1; D=5'-4' in Nov, 2' in Dec; page-image proofread vs page 396: confirmed"
1913 J1,7.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Schaumasse) + Delphinus 6 May 1913 -> 1913 J1; V.I y=7.0 H10=8m.2 (Holetschek), nuclear y=24; C.A.M. H10=7m.7; Bobrovnikoff y=11.4 H0=7m.9 (30 estimates); chose C.A.M. per sec 3.1; D1=4' in June-July; non-standard nuclear y=24; page-image proofread vs page 397-398: confirmed"
1913 R1,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Metcalf) + Lynx 1 Sept 1913 -> 1913 R1; V.I y=17.2 H0=6m.8 and y=10.5 h10=10m.3 (Holetschek); C.A.M. H10=8m.0; Bobrovnikoff y=16.9 H0=6m.8 (58 estimates); chose C.A.M. per sec 3.1; reached 7-8m visible to naked eye in Sept; brightness fluctuations; non-standard y=17.2; page-image proofread vs page 399: confirmed
1914 J1,8.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Zlatinskii) + Persei 15 May 1914 -> 1914 J1; bright comet 4-5m, naked-eye visible, 12-deg tail by 22 May; only V.II Vsekhsvyatskii synthesis H10=8m.3 cited (using Graff/Nijland/Renault estimates); D1=1'.9; type I tail with traces of type III; sanity check: peak ~4m with r_peri~0.55, Δ~0.55 -> peak ~ 8.3 + 5log(0.30) - 10log(0.55) = 8.3 - 2.61 + 2.59 = 8.28 — too faint vs reported 4m; suggests the M1 from V.II may be ~3m too faint, but no other authority; LOW CONFIDENCE — discrepancy with reported peak; page-image proofread vs page 402-403: confirmed"
1914 F1,9.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Kritzinger) + Scorpio 29 March 1914 -> 1914 F1; V.I y=12.7 H0=9m.0 h0=9m.9 yn=13.9 (Holetschek); C.A.M. H10=9m.3; Big V synthesis with Aug-Dec H10=9m.4; Bobrovnikoff y=1.0 H0=10m.4 (Big V notes 'do not accord with actual variation'); chose C.A.M. per sec 3.1; reached m=8 in mid-April-May; faded slowly through Aug-Dec; non-standard y; page-image proofread vs page 403: confirmed
1914 M1,4.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Neujmin) + 24 June 1914 discovery -> 1914 M1; very distant comet (r=3.79-3.96 AU); V.II H10=4m.7 from June-July observations; in Dec, H10=5m.6; ASYMMETRIC fading post-discovery (took June-July brighter per sec 3.3); chose V.II 'other' source; observed only as 12-15m photographic object due to distance; page-image proofread vs page 404: confirmed"
1914 S1,7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Campbell) + Dorado 17 Sept 1914 -> 1914 S1; bright comet 3-4m at discovery, naked-eye visible early; V.I H0=6m.2; C.A.M. H10=7m.0; Big V from 21 Oct estimates H10=6m.0; chose C.A.M. per sec 3.1; sanity check: peak m~3.7 (~Theta Eridani) reported 21-22 Sept with r=1.15, Δ=0.28 -> peak ~ 7.0 + 5log(0.32) - 10log(1.15) = 7.0 - 2.47 - 0.61 ~ 3.92 — consistent with 3-4m reported peak; page-image proofread vs page 404: confirmed"
1913 Y1,1.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Delavan) + La Plata 17 Dec 1913 -> 1913 Y1; FAMOUS bright comet, peaked m=3.0 in Sept 1914, two tails 10 deg straight + 4-5 deg curving; V.I y=11.0 H0=0m.64 (Holetschek), y=10.9 H0=1m.0 (Nijland), y=9.8 H10=1m.4 (Yagolim); C.A.M. H10=1m.1; Bobrovnikoff y=8.8 H0=1m.8 (260 estimates, 37 normals — Big V flags as differing 'much more widely from estimates of 1915'); chose C.A.M. per sec 3.1; observed nearly two years (Dec 1913 to Sept 1915); sanity check: very bright intrinsically, peak m=3 with r_peri=1.10, Δ=1.71 -> peak ~ 1.1 + 5log(1.881) + 10log(1.10) = 1.1 + 1.37 + 0.41 = 2.88 — excellent agreement with reported 3m peak; non-standard y=11.0; page-image proofread vs page 405-406: confirmed"
1915 C1,3.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Mellish) + Ophiuchus 9 Feb 1915 -> 1915 C1; naked-eye visible from late July, double nucleus observed in May (components separated 0'.3 to 38'); V.I y=-2.1 H0=6m.9 (Holetschek/Nijland to May, NEGATIVE y indicating brightness DROP toward perihelion, very unusual); C.A.M. H10=3m.7 (numerous estimates); Bobrovnikoff y=9.9 H0=4m.5 (78 estimates to Dec 1915); chose C.A.M. per sec 3.1; sanity check: peak m=4 in May with r_peri=1.0, Δ=0.40 -> peak ~ 3.7 + 5log(0.40) + 10log(1.0) = 3.7 - 1.99 + 0 = 1.71 — too bright vs reported 4m peak; M1=3.7 may be slight overestimate; possibly type I tail; non-standard y; page-image proofread vs page 407-408: confirmed"
1915 R1,10.0,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 226P (wrong; 226P/Pigott-LINEAR-Kowalski 1915-09-15 has same year but body lacks periodicity claim); body says 'Discovered by Mellish (Williams Bay, U.S.A.) on the morning of 13 Sept' — single-apparition Mellish discovery 13 Sept matches C/1915 R1 (Mellish) per target list (R = 1-15 Sept); only 5 observation days before solar conjunction; C.A.M. H10=11m; Big V synthesis H10=9m.5-10m.5 (mid 10.0); chose Big V mid-range per sec 3.4; very brief observation; page-image proofread vs page 409: confirmed"
69P,8.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Taylor) + Orion 24 Nov 1915 -> 69P/Taylor first apparition (target list); V.I H10=8m.8 (Holetschek/van Biesbroeck); C.A.M. H10=8m.8 (same figure); chose C.A.M. per sec 3.1; periodic — will dedupe with other 69P apparitions; double nucleus observed Feb 1916 (split); 27 May 1916 m=13m.9 (rapid fading); page-image proofread vs page 409-410: confirmed
